MAR,SCHL,WAGP,ESR,RAC1P
3,20,040400,1,6
5,11,,,6
5,16,024000,1,9
1,19,045000,1,1
1,19,034500,1,1
5,19,003600,1,1
5,09,,,1
5,08,,,1
1,21,045000,1,1
1,16,042000,1,2
5,04,,,2
5,01,,,2
5,13,000000,6,2
5,16,000300,1,1
5,15,000000,3,1
1,16,000000,6,1
1,16,060000,1,1
2,11,000000,6,5
3,10,041000,1,5
5,16,000000,3,1
3,21,000000,6,1
1,19,035000,1,1
1,19,000000,6,1
5,16,005600,1,1
1,21,000000,3,1
1,20,057000,1,1
1,18,000000,6,1
5,21,018000,1,1
5,20,050000,1,1
3,16,000000,3,1
1,19,036000,1,1
1,18,045000,1,1
5,16,014300,3,1
5,21,001200,3,1
5,01,,,1
5,,,,1
4,19,000000,6,1
5,16,006300,1,1
2,19,000000,6,1
5,16,012000,3,1
1,16,000000,1,1
1,16,027000,1,1
1,18,000000,6,1
1,16,000000,6,1
1,16,000000,6,1
1,19,003000,1,1
3,16,000300,6,1
1,16,030000,1,1
1,16,028000,1,1
3,20,000000,6,1
1,20,000000,6,1
1,16,060000,1,1
5,13,000000,6,1
5,11,,,1
3,16,000000,6,6
5,16,046000,1,1
3,16,004500,3,1
2,21,000000,6,1
5,16,012000,1,1
5,20,024800,1,1
1,23,125000,1,1
1,22,065000,1,1
5,10,,,1
5,08,,,1
1,16,077000,1,1
1,16,010000,1,1
5,19,017000,1,1
5,19,009000,1,1
5,14,003300,1,1
5,12,000700,6,1
2,18,000000,6,1
1,21,000000,6,1
1,21,028000,1,1
5,04,,,1
5,02,,,1
4,11,000000,6,1
4,17,026000,1,1
5,11,,,1
5,09,,,1
5,19,004500,3,1
2,21,000000,6,1
5,21,000000,6,1
5,19,040000,1,1
3,21,000000,6,1
1,16,030000,1,1
1,16,000000,6,1
5,,,,1
2,18,000000,6,1
1,22,020000,1,6
1,22,020000,1,6
3,21,056000,1,1
3,16,024000,1,1
1,16,030000,1,1
1,18,014000,6,1
5,12,,,1
5,16,000000,6,1
1,22,301000,1,1
1,16,000000,6,1
5,18,024000,1,1
5,18,000000,6,1
1,23,000000,1,1
1,19,000000,1,1
5,13,000000,6,1
5,11,,,1
3,19,012300,1,1
5,19,026700,1,1
3,22,004000,1,1
3,16,000000,1,1
1,19,029000,1,1
1,20,000000,6,1
1,16,000000,6,1
1,18,041600,1,1
5,21,030000,1,6
5,22,075000,1,6
1,22,101000,1,6
1,14,000000,6,6
5,15,000000,6,6
5,09,,,6
1,19,000000,6,1
1,18,000000,6,1
3,22,004800,1,1
1,19,000000,1,1
1,14,038000,1,1
5,18,011000,1,1
5,18,005000,3,1
1,21,070000,1,1
1,21,000000,1,1
5,05,,,1
2,13,000000,6,1
5,19,025000,3,1
3,13,000000,6,1
5,11,000000,6,1
5,,,,1
3,16,018800,1,1
5,18,000000,6,1
1,21,100000,1,1
1,21,007500,1,1
5,19,000500,1,1
5,19,003000,1,1
5,19,002000,3,1
1,16,060000,3,1
1,16,000000,6,1
5,11,,,1
1,19,000600,1,1
3,18,032000,1,1
