MAR,SCHL,WAGP,ESR,RAC1P
1,21,001500,1,1
1,22,035000,1,1
5,03,,,1
5,03,,,1
3,22,000000,1,1
3,21,000000,1,1
2,20,000000,6,1
5,19,075000,1,1
5,18,000000,1,1
1,20,034300,1,1
1,16,027600,1,1
1,22,040000,1,6
1,20,000000,6,6
5,16,013000,1,1
5,16,030600,1,1
2,16,000000,1,1
5,21,012000,1,6
5,21,006000,1,1
5,21,006000,1,6
5,21,016000,1,6
1,09,006000,6,6
1,09,000000,6,6
5,20,012200,1,6
1,23,010000,1,1
1,21,030000,6,1
2,19,000000,6,1
2,16,000000,6,1
1,18,000000,6,1
1,16,000000,6,1
3,23,003000,1,1
2,19,021600,1,3
5,16,000870,1,3
5,13,000000,6,3
3,12,023000,1,3
1,14,010000,1,3
5,07,,,3
1,14,000000,3,1
3,14,000000,6,3
2,19,035000,6,1
5,21,009200,1,1
1,20,120000,1,1
1,16,000000,6,1
3,18,050000,1,1
1,22,004800,1,6
1,22,006500,6,1
3,18,016000,1,1
1,22,316000,1,1
1,21,004000,1,1
1,19,068000,1,1
1,19,010200,1,1
5,19,003500,6,1
1,20,042000,1,1
1,16,005000,1,1
1,12,003500,3,1
1,09,007200,3,1
5,03,,,1
5,,,,1
1,19,000000,1,1
1,21,000000,1,1
1,19,066000,1,1
1,20,004800,1,1
3,19,020800,1,1
1,23,000000,6,1
1,20,000000,6,1
5,19,000000,6,1
2,16,000000,1,1
5,20,040000,1,1
1,22,152000,1,6
1,22,020000,6,6
5,05,,,6
5,01,,,6
1,15,000000,6,6
1,19,005300,6,1
1,21,047600,1,1
5,11,000000,,1
5,09,,,1
5,07,,,1
5,05,,,1
3,18,019200,1,1
5,06,,,9
5,02,,,1
5,16,018700,1,1
3,16,060000,1,1
1,22,003000,6,1
5,23,027000,1,1
5,16,003000,1,1
1,19,050000,1,1
1,19,000000,1,1
5,01,,,1
5,,,,1
1,09,022000,1,1
1,01,001500,1,1
5,11,022000,1,1
5,14,000000,6,1
5,,,,1
1,13,000000,6,1
1,21,012000,1,1
1,21,056000,1,1
5,02,,,1
5,19,028000,1,1
3,19,000000,6,1
1,21,064000,1,1
1,19,034000,1,1
1,20,025000,1,1
1,15,000000,6,1
5,01,,,1
3,14,045000,1,1
1,21,019500,1,1
1,22,000000,6,1
1,16,000000,6,1
1,16,000000,6,1
1,19,000000,6,9
1,22,028000,1,9
5,01,,,9
5,01,,,9
5,06,,,9
5,05,,,9
3,19,000000,6,1
3,16,000000,6,7
5,07,,,7
5,06,,,7
5,03,,,7
3,18,050000,1,1
5,22,020000,1,1
1,17,000000,6,1
1,09,000000,6,6
3,14,000000,6,1
5,16,000250,3,1
5,21,066000,1,1
5,11,,,9
3,18,020000,1,1
5,12,000000,6,1
1,16,010000,1,1
1,16,000000,6,1
2,18,000000,6,1
5,19,020000,3,1
5,01,,,1
5,01,,,1
5,,,,1
5,17,000000,6,1
2,16,000000,6,1
5,19,000000,6,1
1,21,008200,1,1
1,22,000000,6,1
1,19,032000,1,6
1,16,014000,1,6
5,05,,,6
5,,,,6
3,14,058000,1,1
5,08,,,1
5,04,,,1
1,21,065000,1,1
1,17,050000,1,1
3,15,038000,1,8
5,16,011200,1,1
5,13,000000,6,8
5,12,,,8
5,,,,1
4,15,000000,3,1
1,16,009000,1,1
1,16,024000,1,1
5,19,022000,1,1
5,18,018000,1,1
2,16,000000,6,1
3,15,000000,6,1
5,07,,,1
5,01,,,1
5,,,,1
5,19,024000,1,1
1,15,040000,1,1
1,15,035000,1,1
4,15,000000,6,1
5,19,012000,1,1
1,17,000000,6,1
5,16,000000,3,1
5,16,000000,6,1
5,16,000000,6,1
5,16,000000,6,1
5,16,000000,6,1
5,18,000000,6,1
1,18,083000,1,1
1,16,018000,1,1
5,14,004000,1,1
5,11,000000,,1
1,16,000000,1,1
1,21,010000,1,1
1,20,048000,1,1
1,16,048000,1,1
5,03,,,1
5,01,,,1
1,19,000000,1,1
1,18,000000,1,1
5,01,,,1
5,,,,1
5,16,000000,6,1
2,13,000000,6,1
1,22,056000,1,1
1,21,095000,1,1
5,13,000000,6,1
5,09,,,1
5,21,080000,1,1
3,21,011000,6,6
5,21,020000,1,6
1,19,029000,1,1
1,21,068000,1,1
5,05,,,1
5,01,,,1
1,21,035000,1,1
1,22,049000,1,1
4,18,000000,6,1
1,20,055000,1,1
1,21,067000,1,1
5,02,,,1
1,16,000000,6,1
1,19,000000,6,1
2,16,000000,6,1
5,21,043000,1,1
5,21,005000,1,1
5,22,065000,1,1
1,19,013000,1,1
1,19,030000,1,1
3,19,000000,6,1
1,20,013800,1,1
1,20,000000,3,1
5,14,000300,6,1
3,12,000000,6,1
2,16,000000,6,1
5,15,051000,1,1
5,01,,,1
5,,,,1
5,,,,1
5,02,,,1
5,13,012000,1,1
1,11,000000,6,1
1,11,000000,6,1
5,16,048000,1,1
2,18,000000,6,1
1,19,000000,6,1
1,19,000000,6,1
3,18,000000,6,2
5,16,003000,1,2
5,22,025000,1,1
5,21,000750,3,1
5,19,010000,6,1
3,10,021600,1,8
5,16,000000,6,8
5,08,,,8
3,10,060000,1,8
1,16,065000,1,1
1,15,000000,1,1
5,15,035000,1,1
5,15,016000,1,1
3,19,000000,6,1
1,21,060000,1,1
1,21,011200,1,1
5,14,000000,6,1
5,13,000000,6,1
5,07,,,1
5,04,,,1
1,14,000000,1,1
1,16,030000,1,1
5,12,000000,6,1
2,21,018500,1,8
5,17,009600,1,8
5,22,009600,1,8
5,17,039000,1,1
5,19,000000,6,1
1,18,052000,1,9
1,22,070000,1,1
1,24,068000,1,1
5,09,,,1
5,01,036400,1,1
2,22,000000,6,1
1,16,055000,1,1
1,18,000000,6,1
5,03,,,1
5,01,,,1
5,01,,,1
1,23,000000,6,6
1,17,000000,6,6
1,23,024000,1,1
1,21,000000,6,1
5,19,042200,1,1
5,07,,,1
5,01,,,1
5,17,001400,6,1
1,21,000000,6,1
1,16,000000,6,1
1,22,110000,1,6
1,22,107000,2,6
5,05,,,6
5,02,,,6
1,16,023200,1,1
1,16,050000,1,1
2,20,000000,6,1
5,15,025100,1,1
2,16,000000,3,1
5,15,000000,3,1
1,19,030900,4,1
1,19,162000,1,1
5,18,058000,1,1
5,19,072000,1,1
1,16,043000,1,1
1,16,000000,6,1
5,21,000000,6,1
1,18,041800,1,1
1,19,000000,6,1
1,17,043000,1,1
1,17,000000,6,1
2,11,000000,6,1
3,19,004800,1,1
5,02,,,1
1,19,000800,1,1
1,19,049000,1,1
5,19,024000,1,1
5,04,,,1
5,04,,,1
5,24,100000,1,1
5,19,014900,6,1
5,01,,,1
5,,,,1
5,13,037400,1,1
5,19,006500,1,6
5,16,000400,1,6
5,20,000000,6,1
5,21,042000,2,2
5,21,086000,1,1
3,21,072000,1,1
5,20,023400,1,9
1,21,000000,6,1
1,16,000000,6,1
1,20,040000,1,1
1,16,004700,1,9
1,19,084000,1,1
1,19,015000,1,1
5,10,,,1
1,21,089000,1,1
1,19,030000,1,6
1,21,035000,1,6
5,18,002900,1,6
5,20,022000,1,1
3,16,007200,1,1
5,16,040000,1,1
3,20,036000,1,1
1,20,070000,1,1
1,21,100000,1,1
5,14,000000,6,1
3,19,065000,1,1
1,21,000000,6,1
1,21,091000,1,9
5,,,,9
1,16,072000,1,1
1,18,034000,1,1
5,13,000000,6,1
5,19,010000,1,1
3,16,000000,6,1
1,22,027500,2,1
1,21,043000,1,1
5,,,,1
1,21,081000,1,6
1,21,087000,1,6
3,18,000000,6,1
1,20,028000,1,1
1,19,028000,1,1
5,,,,1
3,16,031100,1,1
5,12,000000,6,1
1,12,020000,1,1
1,12,000000,6,1
5,01,,,1
5,,,,1
5,09,,,1
5,08,,,1
1,16,000000,6,1
1,16,080000,1,1
1,23,316000,1,1
1,21,004000,1,1
3,18,000000,6,1
5,22,054000,1,1
1,19,023000,3,9
1,16,000000,6,9
